title,author,goodreads_url,ol_title,ol_author,cover_url,openlibrary_url,description
"Otherwise Known as Sheila the Great (Fudge, #2)",Judy Blume,https://www.goodreads.com/book/show/80670.Otherwise_Known_as_Sheila_the_Great,Otherwise Known as Sheila the Great,Judy Blume,https://covers.openlibrary.org/b/id/10830248-L.jpg,https://openlibrary.org/works/OL1838365W,"Otherwise Known as Sheila the Great is a children's novel by Judy Blume, first published in 1972. It is the second book in the Fudge series."
The Saggy Baggy Elephant,Kathryn Jackson,https://www.goodreads.com/book/show/825576.The_Saggy_Baggy_Elephant,The Saggy Baggy Elephant,Kathryn Jackson,https://covers.openlibrary.org/b/id/166355-L.jpg,https://openlibrary.org/works/OL1689751W,In the first of two stories an elephant's worries about his wrinkles are solved and in the second a lion finds a cure for his hunger.
On Beyond Zebra!,Dr. Seuss,https://www.goodreads.com/book/show/330.On_Beyond_Zebra_,On Beyond Zebra!,Dr Seuss,,https://openlibrary.org/works/OL31922133W,
"Catching Fire (The Hunger Games, #2)",Suzanne Collins,https://www.goodreads.com/book/show/6148028-catching-fire,Catching Fire,Suzanne Collins,https://covers.openlibrary.org/b/id/12646539-L.jpg,https://openlibrary.org/works/OL5735360W,"Against all odds, Katniss Everdeen has won the Hunger Games. She and fellow District 12 tribute Peeta Mellark are miraculously still alive. Katniss should be relieved, happy even. After all, she has returned to her family and her longtime friend, Gale. Yet nothing is the way Katniss wishes it to be. Gale holds her at an icy distance. Peeta has turned his back on her completely. And there are whispers of a rebellion against the Capitol—a rebellion that Katniss and Peeta may have helped create. 

Much to her shock, Katniss has fueled an unrest that she's afraid she cannot stop. And what scares her even more is that she's not entirely convinced she should try. As time draws near for Katniss and Peeta to visit the districts on the Capitol's cruel Victory Tour, the stakes are higher than ever. If they can't prove, without a shadow of a doubt, that they are lost in their love for each other, the consequences will be horrifying.

In Catching Fire, the second novel of the Hunger Games trilogy, Suzanne Collins continues the story of Katniss Everdeen, testing her more than ever before . . . and surprising readers at every turn."
The Complete Tales,Beatrix Potter,https://www.goodreads.com/book/show/19330.The_Complete_Tales,The Complete Tales of Beatrix Potter,Beatrix Potter,https://covers.openlibrary.org/b/id/459442-L.jpg,https://openlibrary.org/works/OL108616W,
Terry Treetop and the Lost Egg,Tali Carmi,https://www.goodreads.com/book/show/20367560-terry-treetop-and-the-lost-egg,Terry Treetop and the lost egg,Tali Carmi,,https://openlibrary.org/works/OL29997145W,
Tom's Midnight Garden,Philippa Pearce,https://www.goodreads.com/book/show/543086.Tom_s_Midnight_Garden,Tom's Midnight Garden,Philippa Pearce,https://covers.openlibrary.org/b/id/3077039-L.jpg,https://openlibrary.org/works/OL2004807W,"Daytime life for Tom is dull, but each night he participates in the lives of the former inhabitants of the old house in which he is spending an enforced vacation."
"The Tale of Two Bad Mice (World of Beatrix Potter, #5)",Beatrix Potter,https://www.goodreads.com/book/show/585747.The_Tale_of_Two_Bad_Mice,The Tale of Two Bad Mice,Beatrix Potter,https://covers.openlibrary.org/b/id/6604329-L.jpg,https://openlibrary.org/works/OL108768W,"While the dolls are away, two curious, naughty mice explore the dolls' house and steal their furniture."
Scuffy the Tugboat,Gertrude Crampton,https://www.goodreads.com/book/show/579143.Scuffy_the_Tugboat,Scuffy the Tugboat,Gertrude Crampton,,https://openlibrary.org/works/OL25825274W,
"On the Banks of Plum Creek (Little House, #4)",Laura Ingalls Wilder,https://www.goodreads.com/book/show/7882.On_the_Banks_of_Plum_Creek,On the Banks of Plum Creek,Laura Ingalls Wilder,https://covers.openlibrary.org/b/id/30787-L.jpg,https://openlibrary.org/works/OL1719794W,"Laura and her family move to Minnesota where they live in a dugout until a new house is built and face misfortunes caused by flood, blizzard, and grasshoppers."
SMILES FOR THE HOLIDAYS: Silly Seasonal Short Stories,Nancy O'Meara,https://www.goodreads.com/book/show/200724335-smiles-for-the-holidays,,,,,
Belly Button Book,Sandra Boynton,https://www.goodreads.com/book/show/488883.Belly_Button_Book,Belly button book!,Sandra Boynton,https://covers.openlibrary.org/b/id/6815719-L.jpg,https://openlibrary.org/works/OL15852691W,Hippopotamuses celebrate their belly buttons.
"The Magic Faraway Tree (The Faraway Tree, #2)",Enid Blyton,https://www.goodreads.com/book/show/74998.The_Magic_Faraway_Tree,The magic Faraway Tree,Enid Blyton,https://covers.openlibrary.org/b/id/14605635-L.jpg,https://openlibrary.org/works/OL1948587W,Wonderful tale for kids about a magical tree and the people who live in it.
Whistle for Willie,Ezra Jack Keats,https://www.goodreads.com/book/show/1024465.Whistle_for_Willie,Whistle for Willie,Ezra Jack Keats,https://covers.openlibrary.org/b/id/13778179-L.jpg,https://openlibrary.org/works/OL32447062W,
