title,author,goodreads_url,ol_title,ol_author,cover_url,openlibrary_url
The Rabbit Listened,Cori Doerrfeld,https://www.goodreads.com/book/show/35248504-the-rabbit-listened,The rabbit listened,Cori Doerrfeld,https://covers.openlibrary.org/b/id/12996949-L.jpg,https://openlibrary.org/works/OL19733428W
"Leonardo, the Terrible Monster",Mo Willems,https://www.goodreads.com/book/show/624744.Leonardo_the_Terrible_Monster,"Leonardo, the Terrible Monster",Mo Willems,https://covers.openlibrary.org/b/id/545186-L.jpg,https://openlibrary.org/works/OL5759981W
An ABC Escapade through Egypt,Bernadette Simpson,https://www.goodreads.com/book/show/6047041-an-abc-escapade-through-egypt,An ABC Escapade through Egypt,Bernadette Simpson,https://covers.openlibrary.org/b/id/6288101-L.jpg,https://openlibrary.org/works/OL15006205W
Mr. Putter & Tabby Pick the Pears,Cynthia Rylant,https://www.goodreads.com/book/show/888513.Mr_Putter_Tabby_Pick_the_Pears,Mr. Putter & Tabby Pick the Pears,Cynthia Rylant,https://covers.openlibrary.org/b/id/112664-L.jpg,https://openlibrary.org/works/OL64061W
A Harry the Dirty Dog Treasury: Three Stories,Gene Zion,https://www.goodreads.com/book/show/378393.A_Harry_the_Dirty_Dog_Treasury,,,,
One Morning in Maine,Robert McCloskey,https://www.goodreads.com/book/show/29288.One_Morning_in_Maine,One Morning in Maine,Robert McCloskey,https://covers.openlibrary.org/b/id/104569-L.jpg,https://openlibrary.org/works/OL4638370W
The Big Honey Hunt,Stan Berenstain,https://www.goodreads.com/book/show/900087.The_Big_Honey_Hunt,The Big Honey Hunt,Stan Berenstain,https://covers.openlibrary.org/b/id/184-L.jpg,https://openlibrary.org/works/OL15066354W
Dragons Love Tacos,Adam Rubin,https://www.goodreads.com/book/show/13337050-dragons-love-tacos,Dragons love tacos,Adam Rubin,https://covers.openlibrary.org/b/id/8085856-L.jpg,https://openlibrary.org/works/OL16263000W
King of the Dollhouse,Patricia Clapp,https://www.goodreads.com/book/show/1458598.King_of_the_Dollhouse,King of the dollhouse,Patricia Clapp,https://covers.openlibrary.org/b/id/6689187-L.jpg,https://openlibrary.org/works/OL4970295W
James Herriot's Treasury for Children: Warm and Joyful Tales by the Author of All Creatures Great and Small,James Herriot,https://www.goodreads.com/book/show/38735.James_Herriot_s_Treasury_for_Children,,,,
"Jip en Janneke (Jip en Janneke, #1-5)",Annie M.G. Schmidt,https://www.goodreads.com/book/show/1484848.Jip_en_Janneke,Jip en Janneke,Annie M. G. Schmidt,https://covers.openlibrary.org/b/id/13492795-L.jpg,https://openlibrary.org/works/OL3173338W
"Dragon Rider (Dragon Rider, #1)",Cornelia Funke,https://www.goodreads.com/book/show/100464.Dragon_Rider,Dragon Rider,Cornelia Funke,https://covers.openlibrary.org/b/id/12541476-L.jpg,https://openlibrary.org/works/OL25320490W
"What Do You Say, Dear? A Book of Manners for All Occasions",Sesyle Joslin,https://www.goodreads.com/book/show/380680.What_Do_You_Say_Dear_A_Book_of_Manners_for_All_Occasions,,,,
The Very Lonely Firefly (Penguin Young Readers Level 2),Eric Carle,https://www.goodreads.com/book/show/47680.The_Very_Lonely_Firefly,The very lonely firefly,Eric Carle,https://covers.openlibrary.org/b/id/3267600-L.jpg,https://openlibrary.org/works/OL52965W
Sadako and the Thousand Paper Cranes by Eleanor Coerr: A Multicultural Novel Study Unit,Melanie Komar,https://www.goodreads.com/book/show/181080.Sadako_and_the_Thousand_Paper_Cranes_by_Eleanor_Coerr,,,,
The Adventures of Beekle: The Unimaginary Friend,Dan Santat,https://www.goodreads.com/book/show/18295821-the-adventures-of-beekle,,,,
Wilma Unlimited: How Wilma Rudolph Became the World's Fastest Woman,Kathleen Krull,https://www.goodreads.com/book/show/532854.Wilma_Unlimited,,,,
Snow,Uri Shulevitz,https://www.goodreads.com/book/show/1080004.Snow,Snow,Uri Shulevitz,https://covers.openlibrary.org/b/id/224115-L.jpg,https://openlibrary.org/works/OL27268W
Mr. Putter and Tabby Bake the Cake,Cynthia Rylant,https://www.goodreads.com/book/show/2208803.Mr_Putter_and_Tabby_Bake_the_Cake,Mr. Putter and Tabby Bake the Cake,Cynthia Rylant,,https://openlibrary.org/works/OL42554728W
When I Was Young in the Mountains (Reading Rainbow Books),Cynthia Rylant,https://www.goodreads.com/book/show/920576.When_I_Was_Young_in_the_Mountains,When I Was Young in the Mountains,Cynthia Rylant,https://covers.openlibrary.org/b/id/360799-L.jpg,https://openlibrary.org/works/OL64126W
Lassie Come-Home,Eric Knight,https://www.goodreads.com/book/show/895886.Lassie_Come_Home,Lassie Come-Home,Eric Knight,https://covers.openlibrary.org/b/id/2370974-L.jpg,https://openlibrary.org/works/OL3234966W
A Monster Calls,Patrick Ness,https://www.goodreads.com/book/show/25480342-a-monster-calls,A Monster Calls,Patrick Ness,https://covers.openlibrary.org/b/id/7011713-L.jpg,https://openlibrary.org/works/OL16341254W
"Seven-Day Magic (Tales of Magic, #7)",Edward Eager,https://www.goodreads.com/book/show/312083.Seven_Day_Magic,Seven-Day Magic (Tales of Magic #7),Edward Eager,https://covers.openlibrary.org/b/id/113268-L.jpg,https://openlibrary.org/works/OL61400W
The Midwife's Apprentice,Karen Cushman,https://www.goodreads.com/book/show/15595.The_Midwife_s_Apprentice,The Midwife's Apprentice,Karen Cushman,https://covers.openlibrary.org/b/id/256426-L.jpg,https://openlibrary.org/works/OL2973563W
The Sleeping Beauty,Trina Schart Hyman,https://www.goodreads.com/book/show/375990.The_Sleeping_Beauty,The Sleeping Beauty,Trina Schart Hyman,https://covers.openlibrary.org/b/id/189068-L.jpg,https://openlibrary.org/works/OL4134430W
